id,tz,from,to,hours
1489383583159,America/Chicago,13. 03. 2017 0:39,13. 03. 2017 10:52,10.21
1489478609474,America/Chicago,14. 03. 2017 3:03,14. 03. 2017 11:15,8.2
1489565313026,America/Chicago,15. 03. 2017 3:08,15. 03. 2017 9:05,5.95
1489646083658,America/Chicago,16. 03. 2017 1:34,16. 03. 2017 8:42,7.13
1489671799818,America/Chicago,16. 03. 2017 8:43,16. 03. 2017 10:13,1.51
1489811896063,America/Denver,17. 03. 2017 22:38,18. 03. 2017 5:55,7.28
1490594519693,America/Chicago,27. 03. 2017 1:01,27. 03. 2017 7:40,6.64
1490675959055,America/Chicago,27. 03. 2017 23:39,28. 03. 2017 6:58,7.31
1490770232682,America/Chicago,29. 03. 2017 1:50,29. 03. 2017 7:30,5.67
1490851170459,America/Chicago,30. 03. 2017 0:19,30. 03. 2017 7:24,7.09
1490936088312,America/Chicago,30. 03. 2017 23:54,31. 03. 2017 8:00,8.09
1491022774953,America/Chicago,31. 03. 2017 23:59,01. 04. 2017 9:50,9.85
1491113173978,America/Chicago,02. 04. 2017 1:06,02. 04. 2017 10:10,9.08
1491199750006,America/Chicago,03. 04. 2017 1:09,03. 04. 2017 7:32,6.4
1491285275710,America/Chicago,04. 04. 2017 0:54,04. 04. 2017 7:30,6.6
1491373595620,America/Chicago,05. 04. 2017 1:26,05. 04. 2017 7:42,6.27
1491458425124,America/Chicago,06. 04. 2017 1:00,06. 04. 2017 7:00,6
1491546415213,America/Chicago,07. 04. 2017 1:26,07. 04. 2017 8:00,6.55
1491724341157,America/Chicago,09. 04. 2017 2:52,09. 04. 2017 9:55,7.05
1491806933834,America/Chicago,10. 04. 2017 1:48,10. 04. 2017 6:40,4.86
1491889224259,America/Chicago,11. 04. 2017 0:40,11. 04. 2017 7:40,7.01
1491976724270,America/Chicago,12. 04. 2017 0:58,12. 04. 2017 8:11,7.21
1492057242047,America/Chicago,12. 04. 2017 23:20,13. 04. 2017 7:10,7.83
1492159412400,America/Chicago,14. 04. 2017 3:43,14. 04. 2017 7:21,3.63
1492415726559,America/Chicago,17. 04. 2017 2:55,17. 04. 2017 8:11,5.26
1492584888206,America/Chicago,19. 04. 2017 1:54,19. 04. 2017 8:00,6.09
1492659419638,America/Chicago,19. 04. 2017 22:36,20. 04. 2017 7:20,8.72
1492938474593,America/Chicago,23. 04. 2017 4:07,23. 04. 2017 11:16,7.14
1493019182344,America/Chicago,24. 04. 2017 2:33,24. 04. 2017 11:03,8.5
1493097759867,America/Chicago,25. 04. 2017 0:22,25. 04. 2017 7:46,7.39
1493187515495,America/Chicago,26. 04. 2017 1:18,26. 04. 2017 7:48,6.49
1493446431520,America/Chicago,29. 04. 2017 1:13,29. 04. 2017 11:10,9.94
1493706683331,America/Chicago,02. 05. 2017 1:31,02. 05. 2017 7:41,6.18
1493791528883,America/Chicago,03. 05. 2017 1:05,03. 05. 2017 7:47,6.71
1493869320537,America/Chicago,03. 05. 2017 22:42,04. 05. 2017 7:31,8.83
1494220441197,America/Chicago,08. 05. 2017 0:14,08. 05. 2017 7:10,6.94
1494481661006,America/Chicago,11. 05. 2017 0:47,11. 05. 2017 7:37,6.83
1494564837913,America/Chicago,11. 05. 2017 23:53,12. 05. 2017 8:00,8.11
1494672843220,America/Chicago,13. 05. 2017 5:54,13. 05. 2017 14:38,8.74
1494747558957,America/Chicago,14. 05. 2017 2:39,14. 05. 2017 9:25,6.77
1494832524562,America/Chicago,15. 05. 2017 2:15,15. 05. 2017 9:25,7.17
1494995668284,America/Chicago,16. 05. 2017 23:34,17. 05. 2017 8:00,8.43
1495088842400,America/Chicago,18. 05. 2017 1:27,18. 05. 2017 7:30,6.06
1495165850430,America/Chicago,18. 05. 2017 22:50,19. 05. 2017 7:00,8.16
